ECG_R_Peaks,ECG_Q_Peaks,ECG_S_Peaks,ECG_R_Onsets,ECG_T_Peaks,ECG_P_Onsets,ECG_T_Onsets,ECG_R_Offsets,HRV_RMSSD,HRV_MeanNN,HRV_SDNN,HRV_CVNN,HRV_LF,HRV_HF,HRV_LFHF,Label
11,11,11,11,11,11,11,11,72.38822328034104,1320.8333333333335,84.52085967478445,0.06399055622065698,,,,0
13,13,13,13,13,13,13,13,333.53634390396803,1061.8055555555557,355.12545996029206,0.3344543246192417,,,,0
14,14,14,14,14,14,14,14,19.060360046517484,926.4957264957267,23.229912574952763,0.025072876118722075,,,,0
11,11,11,11,11,11,11,11,19.685455208767827,1181.1111111111113,22.329985622196773,0.018905914449649192,,,,1
11,11,11,11,11,11,11,11,35.160810270458306,1241.9444444444443,26.754292759666725,0.021542262119168022,,,,1
11,11,11,11,11,11,11,11,28.643904256033366,1236.6666666666667,21.74645013050323,0.01758473056374924,,,,1
10,10,10,10,10,10,10,10,215.33601362854307,1271.604938271605,189.68773975810998,0.14917191184861076,,,,0
8,8,8,8,8,8,8,8,58.00170282728089,1595.2380952380952,44.4361764796358,0.027855513614100054,,,,0
10,10,10,10,10,10,10,10,34.92993427766475,1263.8888888888891,25.983731852596872,0.020558557070186532,,,,0
11,11,11,11,11,11,11,11,527.1788349369566,1165.5555555555554,403.61067565592134,0.3462817998954521,,,,1
14,14,14,14,14,14,14,14,3.1056499687497134,966.4529914529915,4.601051395871564,0.0047607606749234845,,,,1
9,9,9,9,9,9,9,9,62.75740644331999,1531.9444444444443,71.40872740223254,0.04661313121451263,,,,1
11,11,11,11,11,11,11,11,18.285571905677276,1178.6111111111113,29.861649435285464,0.025336304022396335,,,,1
10,10,10,10,10,10,10,10,10.485881160098206,1416.6666666666667,13.537214367790277,0.0095556807302049,,,,1
9,9,9,9,9,9,9,9,133.9642809536504,1441.3194444444446,101.3079966497472,0.07028837156137603,,,,1
10,10,10,10,10,10,10,10,147.957414835953,1422.8395061728395,137.50545568425835,0.09664157839848092,,,,1
10,10,10,10,10,10,10,10,436.4559853644968,1409.567901234568,372.72227788726354,0.2644230743058318,,,,0
10,10,10,10,10,10,10,10,84.76205803000241,1295.9876543209878,64.46167021802698,0.04973941688649855,,,,0
10,10,10,10,10,10,10,10,27.251967875484223,1345.061728395062,19.03222665842086,0.014149704996164199,,,,0
11,11,11,11,11,11,11,11,113.19420775556556,1240.5555555555554,71.76015531101243,0.05784517669494957,,,,1
13,13,13,13,13,13,13,13,79.57871679102081,1049.3055555555554,130.5159245672978,0.12438314452475767,,,,1
13,13,13,13,13,13,13,13,398.94730305804046,987.0370370370371,289.7963925255765,0.2936023489002088,,,,1
19,19,19,19,19,19,19,19,565.2543916088715,709.5679012345678,311.8327622120552,0.43946852960724614,,,,0
13,13,13,13,13,13,13,13,471.6410565199834,1022.4537037037038,442.93534567156934,0.4332082167310798,,,,0
11,11,11,11,11,11,11,11,438.15182679023025,1210.5555555555557,323.3637718479895,0.26712014195795364,,,,0
